parallelism,frequency,n_trials,compromises,asp,asp_ci_lo,asp_ci_hi,n_success,ttc_small_n,ttc_mean,ttc_mean_ci_lo,ttc_mean_ci_hi,ttc_median,ttc_median_ci_lo,ttc_median_ci_hi,overhead_mean,overhead_ci_lo,overhead_ci_hi,overhead_per_tick_mean,overhead_per_asset_mean,forced_recons_mean,wrong_target_failures_mean,decoys_encountered_mean,stale_fraction_mean,rounds_completed_mean,trial_ticks_mean,mutation_events_mean
4,0.04,1000,907,0.907,0.8874087442345036,0.9234762743582547,907,False,69.64608599779493,66.42024130348464,72.87193069210521,57.0,53.0,61.0,181.952,172.15072253438217,191.75327746561783,1.9671248941963708,22.744,7.531,2.003,0.0,0.03440640951380948,9.534,81.769,12.268
4,0.08,1000,533,0.533,0.5020104989134991,0.5637369350264544,533,False,91.34146341463415,86.70773682332675,95.97519000594154,83.0,77.0,94.0,639.184,618.3491894437034,660.0188105562966,4.299243477390089,79.898,20.867,1.114,0.0,0.07503126379588122,21.981,142.085,40.379
4,0.12,1000,203,0.203,0.17922817876013142,0.2290449157802884,203,False,103.45320197044335,95.81393326906736,111.09247067181933,102.0,91.0,114.0,1216.872,1194.8382508368766,1238.9057491631236,6.631115153082463,152.109,32.25,0.409,0.0,0.11807567289569738,32.659,180.401,72.406
4,0.2,1000,13,0.013,0.0076128203893510256,0.022114442375579666,13,True,118.23076923076923,95.3521555075241,141.10938295401434,134.0,74.0,150.0,2224.912,2211.2900771571526,2238.533922842847,11.174252540803206,278.114,42.02,0.033,0.0,0.2009477590616164,42.053,198.937,117.335
4,0.3,1000,0,0.0,0.0,0.0038267584855551234,0,True,,,,,,,3365.656,3353.5040331702635,3377.8079668297364,16.82828,420.707,46.005,0.001,0.0,0.3007159808300232,46.006,200.0,152.079
8,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,18.041,17.33036024409789,18.75163975590211,12.0,12.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0,0.631,18.041,0.0
8,0.01,1000,1000,1.0,0.996173241514445,1.0,1000,False,21.919,20.968930004088115,22.869069995911886,18.0,16.0,19.0,12.104,10.92275389100963,13.285246108990368,0.44126346275035566,1.513,0.611,0.588,0.0,0.007591032485430672,1.199,21.919,0.858
8,0.02,1000,1000,1.0,0.996173241514445,1.0,1000,False,26.509,25.34367749922246,27.674322500777542,21.0,20.0,22.0,29.512,27.274100816856432,31.74989918314357,0.9077601488876506,3.689,1.373,0.537,0.0,0.01532104584464016,1.91,26.509,2.02
8,0.04,1000,995,0.995,0.9883490446266249,0.9978624644726756,995,False,42.43417085427136,40.317393377950424,44.55094833059229,31.0,29.0,33.0,94.544,88.26370665672172,100.82429334327827,1.8439184116288243,11.818,3.97,0.56,0.0,0.031346554868632796,4.53,43.222,6.391
8,0.08,1000,795,0.795,0.7688722989694241,0.8188699135240984,795,False,82.23270440251572,78.46692418211524,85.99848462291621,71.0,66.0,76.0,477.296,456.4956724540267,498.0963275459733,4.128276715831945,59.662,15.641,0.47,0.0,0.07057621508994381,16.111,106.375,30.265
8,0.12,1000,343,0.343,0.3142286235426158,0.3729729786218485,343,False,99.14285714285714,93.24673614423601,105.03897814147827,96.0,88.0,104.04999999999973,1118.064,1091.0866939802177,1145.0413060197825,6.567545987251546,139.758,29.626,0.214,0.0,0.11571114296774825,29.84,165.406,66.426
8,0.2,1000,30,0.03,0.0210937388288347,0.042503414147587126,30,False,98.33333333333333,78.34502868090144,118.32163798576522,87.5,73.5,119.5,2199.92,2181.8142211603463,2218.025778839654,11.14669100256729,274.99,41.569,0.018,0.0,0.2001399527917578,41.587,196.95,116.186
8,0.3,1000,3,0.003,0.0010207838811386186,0.008783014053503173,3,True,147.66666666666666,82.21704165756667,213.11629167576666,159.0,85.0,199.0,3353.968,3340.6627916499147,3367.273208350085,16.781716300035136,419.246,45.892,0.001,0.0,0.300333015120282,45.893,199.843,151.856
